,hire_date,user_id,book_id,due_date,hire_type,id_y,price,return_date,status,barcode,title_id
35,2017-09-18 00:00:00+00:00,65,53571-60,2018-02-15 00:00:00+00:00,2,37,80598.0,2018-01-22 11:16:15+00:00,1,53571-60,58
36,2017-09-19 00:00:00+00:00,51,58604-100,2018-02-15 00:00:00+00:00,2,38,100000.0,2018-01-25 11:10:37+00:00,1,58604-100,103
37,2017-09-19 00:00:00+00:00,63,54094-60,2018-02-15 00:00:00+00:00,2,39,81103.0,2018-01-23 07:58:52+00:00,1,54094-60,15
38,2017-09-25 00:00:00+00:00,48,58604-80,2018-02-15 00:00:00+00:00,2,40,100000.0,2018-01-23 09:39:54+00:00,1,58604-80,103
39,2017-09-25 00:00:00+00:00,48,58598-130,2018-02-15 00:00:00+00:00,2,41,74538.0,2018-01-23 09:39:38+00:00,1,58598-130,56
40,2017-09-25 00:00:00+00:00,48,58602-80,2018-02-15 00:00:00+00:00,2,42,63327.0,2018-01-23 09:39:27+00:00,1,58602-80,41
41,2017-09-20 00:00:00+00:00,99,53388-60,2018-02-15 00:00:00+00:00,2,43,55146.0,2018-01-29 09:56:49+00:00,1,53388-60,101
42,2017-09-20 00:00:00+00:00,26,53659-60,2017-09-27 00:00:00+00:00,3,44,12675.5,2018-03-19 11:26:51+00:00,1,53659-60,102
43,2017-09-20 00:00:00+00:00,26,58594-60,2017-09-27 00:00:00+00:00,3,45,16437.75,2018-03-19 11:28:05+00:00,1,58594-60,50
44,2017-09-20 00:00:00+00:00,26,58589-130,2017-09-27 00:00:00+00:00,3,46,25000.0,2018-03-19 11:28:48+00:00,1,58589-130,43
45,2017-09-20 00:00:00+00:00,26,58602-60,2017-09-27 00:00:00+00:00,3,47,15831.75,2018-03-19 11:29:37+00:00,1,58602-60,41
46,2017-09-20 00:00:00+00:00,95,53700-140,2018-02-15 00:00:00+00:00,2,48,61105.0,2017-09-21 09:10:00+00:00,1,53700-140,34
47,2017-09-21 00:00:00+00:00,55,53580-110,2018-02-15 00:00:00+00:00,2,49,100000.0,2017-09-21 15:35:07+00:00,1,53580-110,48
48,2017-09-21 00:00:00+00:00,55,58627-100,2017-09-28 00:00:00+00:00,3,50,17776.0,2017-09-21 15:38:45+00:00,1,58627-100,54
49,2017-09-21 00:00:00+00:00,68,53374-90,2018-02-15 00:00:00+00:00,2,51,100000.0,2017-09-21 15:54:39+00:00,1,53374-90,29
50,2017-09-21 00:00:00+00:00,68,53615-70,2017-09-28 00:00:00+00:00,3,52,14468.25,2017-09-21 15:59:27+00:00,1,53615-70,40
51,2017-09-22 00:00:00+00:00,78,021022302,2018-02-15 00:00:00+00:00,2,54,100000.0,2017-09-22 15:36:00+00:00,1,021022302,149
52,2017-09-23 00:00:00+00:00,16,58584-70,2017-09-30 00:00:00+00:00,3,55,18281.0,2018-01-10 10:10:23+00:00,1,58584-70,88
53,2017-09-23 00:00:00+00:00,116,53613-80,2018-02-15 00:00:00+00:00,2,56,52217.0,2018-02-06 10:37:36+00:00,1,53613-80,106
54,2017-09-23 00:00:00+00:00,114,021022460,2017-10-07 00:00:00+00:00,3,57,0.0,2017-09-23 15:02:44+00:00,1,021022460,150
55,2017-09-23 00:00:00+00:00,114,53618-100,2017-09-30 00:00:00+00:00,3,58,25000.0,2017-09-23 15:02:30+00:00,1,53618-100,1
56,2017-09-23 00:00:00+00:00,114,53639-100,2017-09-30 00:00:00+00:00,3,59,25000.0,2017-09-23 15:03:58+00:00,1,53639-100,2
57,2017-09-25 00:00:00+00:00,56,58632-60,2017-10-02 00:00:00+00:00,3,60,14000.0,2018-01-13 13:58:13+00:00,1,58632-60,82
58,2017-09-25 00:00:00+00:00,75,53388-130,2017-10-02 00:00:00+00:00,3,61,13786.5,2017-10-04 11:23:55+00:00,1,53388-130,101
59,2017-09-25 00:00:00+00:00,49,021022502,2017-10-02 00:00:00+00:00,3,62,25000.0,2018-03-19 13:13:58+00:00,1,021022502,152
60,2017-09-29 00:00:00+00:00,66,53590-60,2018-02-15 00:00:00+00:00,2,64,97364.0,2018-02-07 09:33:40+00:00,1,53590-60,81
61,2017-10-02 00:00:00+00:00,48,58601-80,2018-02-15 00:00:00+00:00,2,65,69488.0,2018-01-23 09:39:45+00:00,1,58601-80,21
62,2017-10-04 00:00:00+00:00,36,53613-70,2018-02-15 00:00:00+00:00,2,66,52217.0,2018-01-15 12:13:15+00:00,1,53613-70,106
63,2017-10-04 00:00:00+00:00,75,53388-130,2017-10-11 00:00:00+00:00,3,67,13786.5,2017-10-04 11:25:57+00:00,1,53388-130,101
64,2017-10-04 00:00:00+00:00,75,53388-130,2017-10-11 00:00:00+00:00,3,68,13786.5,2017-10-11 15:43:25+00:00,1,53388-130,101
65,2017-10-13 00:00:00+00:00,82,53389-100,2018-02-15 00:00:00+00:00,2,69,61105.0,2018-02-06 09:53:36+00:00,1,53389-100,38
66,2017-10-20 00:00:00+00:00,9,53600-80,2018-02-15 00:00:00+00:00,2,70,57368.0,2018-01-30 13:30:43+00:00,1,53600-80,113
67,2017-10-24 00:00:00+00:00,18,58627-100,2017-10-31 00:00:00+00:00,3,71,17776.0,2017-10-24 14:19:07+00:00,1,58627-100,54
68,2017-10-24 00:00:00+00:00,18,58627-100,2017-10-31 00:00:00+00:00,3,72,17776.0,2017-10-24 15:41:57+00:00,1,58627-100,54
69,2017-11-02 00:00:00+00:00,92,021021891,2017-11-09 00:00:00+00:00,3,73,25000.0,2017-11-08 15:08:37+00:00,1,021021891,112
70,2017-11-02 00:00:00+00:00,80,53601-60,2018-02-15 00:00:00+00:00,2,74,80598.0,2018-01-13 14:03:15+00:00,1,53601-60,64
71,2017-11-06 00:00:00+00:00,31,021022165,2017-11-13 00:00:00+00:00,3,75,23525.0,2017-11-13 09:45:28+00:00,1,021022165,137
72,2017-11-06 00:00:00+00:00,16,58584-160,2017-11-13 00:00:00+00:00,3,76,18281.0,2017-11-13 12:32:08+00:00,1,58584-160,88
73,2017-11-09 00:00:00+00:00,96,021021891,2017-11-16 00:00:00+00:00,3,77,25000.0,2018-01-12 12:27:43+00:00,1,021021891,112
74,2017-11-17 00:00:00+00:00,112,53569-80,2017-11-24 00:00:00+00:00,3,78,14872.25,2017-11-27 08:07:02+00:00,1,53569-80,24
75,2017-12-07 00:00:00+00:00,10,53664-80,2018-02-28 00:00:00+00:00,2,79,64337.0,2018-02-28 11:09:56+00:00,1,53664-80,14
76,2017-12-11 00:00:00+00:00,33,53664-70,2018-02-15 00:00:00+00:00,2,80,64337.0,2017-12-11 12:59:00+00:00,1,53664-70,14
77,2017-12-11 00:00:00+00:00,33,53664-70,2018-02-15 00:00:00+00:00,2,81,64337.0,2018-03-22 09:43:07+00:00,1,53664-70,14
78,2018-01-06 00:00:00+00:00,94,021021893,2018-01-13 00:00:00+00:00,3,82,25000.0,2018-01-12 13:12:22+00:00,1,021021893,112
79,2018-01-08 00:00:00+00:00,81,54396-70,2018-01-15 00:00:00+00:00,3,83,25000.0,2018-01-13 11:50:18+00:00,1,54396-70,129
80,2018-01-10 00:00:00+00:00,57,58583-60,2018-01-17 00:00:00+00:00,3,84,16538.75,2018-01-10 14:16:31+00:00,1,58583-60,100
81,2018-01-10 00:00:00+00:00,16,58584-160,2018-01-17 00:00:00+00:00,3,85,18281.0,2018-01-17 09:18:18+00:00,1,58584-160,88
82,2018-01-12 00:00:00+00:00,94,021021893,2018-01-19 00:00:00+00:00,3,86,25000.0,2018-01-16 12:47:48+00:00,1,021021893,112
83,2018-01-13 00:00:00+00:00,68,53488-100,2018-07-15 00:00:00+00:00,2,87,67569.0,2018-01-13 08:28:29+00:00,1,53488-100,98
84,2018-01-15 00:00:00+00:00,117,53394-70,2018-01-22 00:00:00+00:00,3,88,25000.0,2018-01-22 15:22:20+00:00,1,53394-70,120
